transaction_id,customer_id,merchant_id,card_id,amount,timestamp,transaction_type,is_fraud
1,495,192,1012,161.53,2025-08-19 21:08:46,Online,0
2,612,160,1238,148.2,2025-07-11 20:13:23,POS,0
3,132,126,266,141.83,2025-08-03 17:35:24,POS,0
4,570,83,1157,125.27,2025-08-25 03:02:02,Online,0
5,32,67,76,233.52,2025-10-30 09:46:48,Online,0
6,525,63,1072,135.22,2025-09-05 10:34:08,POS,0
7,680,60,1372,169.55,2025-06-13 10:01:30,POS,0
8,722,49,1451,226.23,2025-10-09 08:44:13,POS,0
9,791,9,1597,230.01,2025-07-28 18:22:20,Online,0
10,56,160,124,389.28,2025-10-28 06:02:56,POS,0
11,599,27,1214,113.38,2025-10-12 16:38:16,Online,0
12,22,152,55,92.19,2025-09-20 18:03:20,POS,0
13,107,194,225,164.84,2025-06-14 03:06:22,Online,0
14,129,195,259,95.93,2025-10-07 08:34:30,Online,0
15,35,187,80,180.0,2025-11-07 05:06:33,POS,0
16,112,34,232,101.54,2025-10-18 18:05:09,Online,0
17,431,56,889,263.56,2025-07-15 08:05:55,Online,0
18,179,150,356,27.64,2025-09-13 02:22:05,POS,0
19,690,31,1390,276.22,2025-06-10 18:25:52,POS,0
20,710,38,1427,283.91,2025-08-15 22:04:54,Online,0
21,798,42,1613,135.95,2025-08-08 12:59:18,POS,0
22,491,164,1002,106.72,2025-10-19 06:38:03,Online,0
23,703,34,1411,67.56,2025-10-11 17:51:26,Online,0
24,730,196,1472,108.14,2025-05-26 03:27:55,POS,0
25,325,39,674,235.7,2025-10-12 18:42:38,POS,0
26,152,180,303,61.17,2025-08-10 19:54:33,Online,0
27,79,25,167,283.68,2025-08-30 03:54:06,Online,0
28,753,105,1522,183.15,2025-07-26 23:32:31,POS,0
29,388,159,799,51.58,2025-09-07 08:52:10,Online,0
30,469,138,957,243.84,2025-06-19 14:14:58,POS,0
31,188,97,377,364.41,2025-05-21 02:48:03,POS,0
32,244,167,498,647.3371919228675,2025-06-16 17:53:28,POS,1
33,218,140,434,100.95,2025-06-05 01:58:01,Online,0
34,265,173,541,44.56,2025-11-01 07:13:06,Online,0
35,729,54,1468,314.44,2025-06-05 13:22:00,POS,0
36,103,165,219,102.72,2025-10-15 16:55:42,Online,0
37,573,88,1162,238.59,2025-10-23 17:37:54,Online,0
38,203,16,403,230.66,2025-07-19 04:41:33,Online,0
39,535,42,1090,470.81,2025-09-11 23:49:59,POS,0
40,253,145,515,221.72,2025-08-26 04:28:44,POS,0
41,768,29,1546,863.8952526153046,2025-08-03 18:09:54,Online,1
42,510,39,1042,167.01,2025-06-06 05:55:45,Online,0
43,202,26,402,85.29,2025-05-22 04:08:58,Online,0
44,385,57,793,328.92,2025-08-11 02:23:20,Online,0
45,798,186,1613,370.84,2025-08-01 04:54:43,Online,0
46,189,110,379,164.46,2025-06-22 11:05:17,Online,0
47,301,148,624,166.62,2025-09-07 07:04:18,POS,0
48,189,125,379,325.08,2025-11-05 17:23:39,Online,0
49,775,99,1561,372.39,2025-05-18 10:06:25,Online,0
50,268,132,549,78.03,2025-07-13 19:02:28,POS,0
51,754,132,1524,185.67,2025-11-08 03:45:37,POS,0
52,266,111,544,307.76,2025-06-19 23:52:45,POS,0
53,47,20,105,207.74,2025-06-05 16:36:32,Online,0
54,256,173,521,303.01,2025-05-30 11:34:35,Online,0
55,792,142,1600,79.54,2025-09-05 12:24:15,Online,0
56,707,163,1419,162.91,2025-07-09 11:16:38,POS,0
57,776,173,1565,303.98,2025-09-15 17:07:19,Online,0
58,532,6,1086,187.23,2025-08-03 13:10:24,POS,0
59,707,80,1420,206.29,2025-09-05 07:14:38,Online,0
60,609,80,1231,308.04,2025-05-17 12:01:43,POS,0
61,48,194,106,209.96,2025-11-09 12:31:45,POS,0
62,292,4,609,186.34,2025-06-03 16:07:56,POS,0
63,590,10,1195,361.57,2025-10-08 14:32:30,Online,0
