"transaction_id","amount","transaction_size"
1,"161.53","Medium"
2,"148.2","Medium"
3,"141.83","Medium"
4,"125.27","Medium"
5,"233.52","Medium"
6,"135.22","Medium"
7,"169.55","Medium"
8,"226.23","Medium"
9,"230.01","Medium"
10,"389.28","Medium"
11,"113.38","Medium"
12,"92.19","Medium"
13,"164.84","Medium"
14,"95.93","Medium"
15,"180","Medium"
16,"101.54","Medium"
17,"263.56","Medium"
18,"27.64","Small"
19,"276.22","Medium"
20,"283.91","Medium"
21,"135.95","Medium"
22,"106.72","Medium"
23,"67.56","Medium"
24,"108.14","Medium"
25,"235.7","Medium"
26,"61.17","Medium"
27,"283.68","Medium"
28,"183.15","Medium"
29,"51.58","Medium"
30,"243.84","Medium"
31,"364.41","Medium"
32,"647.3371919228675","Large"
33,"100.95","Medium"
34,"44.56","Small"
35,"314.44","Medium"
36,"102.72","Medium"
37,"238.59","Medium"
38,"230.66","Medium"
39,"470.81","Medium"
40,"221.72","Medium"
41,"863.8952526153046","Large"
42,"167.01","Medium"
43,"85.29","Medium"
44,"328.92","Medium"
45,"370.84","Medium"
46,"164.46","Medium"
47,"166.62","Medium"
48,"325.08","Medium"
49,"372.39","Medium"
50,"78.03","Medium"
51,"185.67","Medium"
52,"307.76","Medium"
53,"207.74","Medium"
54,"303.01","Medium"
55,"79.54","Medium"
56,"162.91","Medium"
57,"303.98","Medium"
58,"187.23","Medium"
59,"206.29","Medium"
60,"308.04","Medium"
61,"209.96","Medium"
62,"186.34","Medium"
63,"361.57","Medium"
64,"35.28","Small"
65,"184.86","Medium"
66,"133.87","Medium"
67,"122.74","Medium"
68,"310.61","Medium"
69,"370.29","Medium"
70,"180.12","Medium"
71,"32.42","Small"
72,"23.67","Small"
73,"132.04","Medium"
74,"156.72","Medium"
75,"134.94","Medium"
76,"21.43","Small"
77,"99.55","Medium"
78,"160.48","Medium"
79,"327.76","Medium"
80,"43.03","Small"
81,"192.93","Medium"
82,"46.41","Small"
83,"274.76","Medium"
84,"262.98","Medium"
85,"121","Medium"
86,"202.14","Medium"
87,"59.4","Medium"
88,"244.74","Medium"
89,"298.58","Medium"
90,"183.47","Medium"
91,"279.59","Medium"
92,"94.39","Medium"
93,"152.52","Medium"
94,"352.38","Medium"
95,"207.43","Medium"
96,"159.81","Medium"
97,"121.99","Medium"
98,"79.32","Medium"
99,"329.71","Medium"
100,"125.7","Medium"
101,"67.75","Medium"
102,"181.05","Medium"
103,"173.8","Medium"
104,"153.57","Medium"
105,"74.49","Medium"
106,"154.79","Medium"
107,"72.94","Medium"
108,"47.74","Small"
109,"55.35","Medium"
110,"141.47","Medium"
111,"189.89","Medium"
112,"183.82","Medium"
113,"331.36","Medium"
114,"286.36","Medium"
115,"245.08","Medium"
116,"103.46","Medium"
117,"201.82","Medium"
118,"1200.27323845864","Large"
119,"296.02","Medium"
120,"172.61","Medium"
121,"293.38","Medium"
122,"139.9","Medium"
123,"126.43","Medium"
124,"231.59","Medium"
125,"102.38","Medium"
126,"187.47","Medium"
127,"339.49","Medium"
128,"144.76","Medium"
129,"185.76","Medium"
130,"227.63","Medium"
131,"103.16","Medium"
132,"61.79","Medium"
133,"99.21","Medium"
134,"361.49","Medium"
135,"764.3199749151574","Large"
136,"277.99","Medium"
137,"88.04","Medium"
138,"335.55","Medium"
139,"161.01","Medium"
140,"84.89","Medium"
141,"326.29","Medium"
142,"278.37","Medium"
143,"60.68","Medium"
144,"287.84","Medium"
145,"401.21","Medium"
146,"297.31","Medium"
147,"199.1","Medium"
148,"297.51","Medium"
149,"145.69","Medium"
150,"285.23","Medium"
151,"53.31","Medium"
152,"112.2","Medium"
153,"200.06","Medium"
154,"396.6","Medium"
155,"224.81","Medium"
156,"198.5","Medium"
157,"246.48","Medium"
158,"138.72","Medium"
159,"187.32","Medium"
160,"263","Medium"
161,"78.88","Medium"
162,"296.3","Medium"
163,"266.67","Medium"
164,"115.62","Medium"
165,"104.47","Medium"
166,"110.63","Medium"
167,"266.48","Medium"
168,"332.78","Medium"
169,"337.16","Medium"
170,"299.91","Medium"
171,"147.69","Medium"
172,"215.33","Medium"
173,"156.9","Medium"
174,"346.85","Medium"
175,"212.41","Medium"
176,"166.25","Medium"
177,"96.83","Medium"
178,"264.19","Medium"
179,"223.11","Medium"
180,"166.61","Medium"
181,"100.1","Medium"
182,"334.01","Medium"
183,"193.61","Medium"
184,"260.84","Medium"
185,"343.4","Medium"
186,"121.53","Medium"
187,"299.47","Medium"
188,"333.11","Medium"
189,"74.8","Medium"
190,"217.56","Medium"
191,"270.74","Medium"
192,"108.82","Medium"
193,"304.37","Medium"
194,"138.86","Medium"
195,"118.16","Medium"
196,"368.88","Medium"
197,"282.37","Medium"
198,"183.41","Medium"
199,"131.19","Medium"
200,"221.62","Medium"
201,"194.33","Medium"
202,"170.87","Medium"
203,"47.22","Small"
204,"113.37","Medium"
205,"206.62","Medium"
206,"160.38","Medium"
207,"329.11","Medium"
208,"130.86","Medium"
209,"274.72","Medium"
210,"368.24","Medium"
211,"177.93","Medium"
212,"99.73","Medium"
213,"315.04","Medium"
214,"129.66","Medium"
215,"34.39","Small"
216,"29.53","Small"
217,"77.53","Medium"
218,"300.01","Medium"
219,"291.51","Medium"
220,"301.68","Medium"
221,"117.01","Medium"
222,"289.59","Medium"
223,"160.23","Medium"
224,"361.84","Medium"
225,"147.36","Medium"
226,"343.76","Medium"
227,"243.93","Medium"
228,"96.71","Medium"
229,"295.72","Medium"
230,"201.93","Medium"
231,"204.65","Medium"
232,"180.11","Medium"
233,"300.55","Medium"
234,"296.4","Medium"
235,"200.73","Medium"
236,"302.1","Medium"
237,"57.06","Medium"
238,"275.12","Medium"
239,"339.48","Medium"
240,"23.07","Small"
241,"272.68","Medium"
242,"241.5","Medium"
243,"100.37","Medium"
244,"91.85","Medium"
245,"222.69","Medium"
246,"211.18","Medium"
247,"221.69","Medium"
248,"234.82","Medium"
249,"143.69","Medium"
250,"31.8","Small"
251,"192.95","Medium"
252,"158.7","Medium"
253,"343.91","Medium"
254,"347.95","Medium"
255,"12.14","Small"
256,"142.94","Medium"
257,"296.62","Medium"
258,"73.53","Medium"
259,"366.68","Medium"
260,"184.18","Medium"
261,"65.15","Medium"
262,"77.71","Medium"
263,"86.48","Medium"
264,"296.19","Medium"
265,"236.05","Medium"
266,"80.36","Medium"
267,"209.55","Medium"
268,"85.33","Medium"
269,"345.26","Medium"
270,"205.49","Medium"
271,"295.93","Medium"
272,"24.04","Small"
273,"137.64","Medium"
274,"160.16","Medium"
275,"266.56","Medium"
276,"56.03","Medium"
277,"40.26","Small"
278,"94.66","Medium"
279,"203.99","Medium"
280,"1114.3584884053437","Large"
281,"249.95","Medium"
282,"221.74","Medium"
283,"138.2","Medium"
284,"134.08","Medium"
285,"222.74","Medium"
286,"460","Medium"
287,"155.89","Medium"
288,"251.9","Medium"
289,"156.21","Medium"
290,"149.46","Medium"
291,"299.47","Medium"
292,"391.15","Medium"
293,"409.98","Medium"
294,"469.37","Medium"
295,"273.92","Medium"
296,"266.78","Medium"
297,"192.36","Medium"
298,"116.71","Medium"
